Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Sale & Return,Success,2,0,2025-11-05 05:20:41 -0500,2025-11-05 05:34:53 -0500,0:03:43
Return optimized,Success,2,1,2025-11-05 05:07:05 -0500,2025-11-05 05:14:49 -0500,0:02:41
